PIB File Number,Date Occurred,Originating Bureau,Division level,Division,Unit,Working Status,Shift,Investigation status,Disposition,Service Type,Light Condition,Weather Condition,Use of Force Type,Use of Force Level,Subject Influencing Factors,Use of Force Effective,Officer Race/Ethnicity,Officer Gender,Officer Age,Officer Years of Service,Distance Between,Subject Gender,Subject Ethnicity,Subject Age,Subject Build,Subject Height,Subject Injured,Subject Hospitalized,Subject Arrested,Subject Arrest Charges,Use of Force Reason,Officer Injured
FTN2023-0276,06/07/2023,FOB - Field Operations Bureau,SOD,7th District,K-9 Section,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Canine (No Bite),L2,Unknown,Yes,Black,Male,35,15,11 feet to 14 feet,Male,Black,0,Small,5'10'' to 6'0'',Yes,No,Yes,,Resisting Officer w/Weapon,No
FTN2023-0277,06/09/2023,FOB - Field Operations Bureau,SOD,Other Support,K-9 Section,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Canine (No Bite),L2,None detected | None detected,Yes,Black,Male,40,15,19 feet to 21 feet | 19 feet to 21 feet,Male | Male,Black | Black,20 | 21,Medium | Medium,5'10'' to 6'0'' | 5'10'' to 6'0'',No | No,No | No,Yes | Yes,,Resisting Lawful Arrest,No
FTN2023-0279,06/10/2023,FOB - Field Operations Bureau,8th District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Hands | Hands,L1 | L1,Alchohol,Yes | Yes,Black | Black,Male | Male,49 | 41,17 | 0,0 feet to 1 feet,Male,Black,28,Small,6'1'' to 6'3'',No,No,Yes,,refuse verbal commands,No | No
FTN2023-0278,06/10/2023,FOB - Field Operations Bureau,SOD,Tact 1,Tact 1,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,Black,Male,31,5,0 feet to 1 feet,Male,Black,16,Medium,5'7'' to 5'9'',No,No,Yes,,Weapon Exhibited,No
FTN2023-0281,06/11/2023,FOB - Field Operations Bureau,8th District,Day Watch,Day Watch,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Black,Male,51,23,0 feet to 1 feet,Male,White,22,Medium,5'10'' to 6'0'',No,No,Yes,,Weapon Exhibited,No
FTN2023-0052,01/29/2023,FOB - Field Operations Bureau,SOD,Tact 1,Tact 1,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,CEW,L4,Unknown,Yes,White,Male,30,7,22 feet to 25 feet,Male,Black,22,Medium,6'1'' to 6'3'',No,Yes,Yes,,Resisting Lawful Arrest,No
FTN2023-0228,05/10/2023,FOB - Field Operations Bureau,6th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Hispanic,Male,33,7,4 feet to 6 feet,Male,Black,28,Medium,5'7'' to 5'9'',No,No,Yes,,Weapon Exhibited,No
FTN2023-0026,01/12/2023,FOB - Field Operations Bureau,SOD,Other Support,K-9 Section,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Canine (No Bite),L2,Unknown,Yes,White,Male,32,9,,,,,Small,5'4'' to 5'6'',No,No,No,,Resisting Lawful Arrest,No
FTN2023-0053,01/30/2023,FOB - Field Operations Bureau,7th District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,Force (Escort Tech) | Force (Escort Tech) | Force (Escort Tech),L1 | L1 | L1,None detected | None detected | None detected | None detected,Yes | Yes | Yes,Asian/Pacific Islander | Black | White,Male | Male | Male,37 | 60 | 29,15 | 32 | 5,0 feet to 1 feet | 0 feet to 1 feet | 0 feet to 1 feet | 0 feet to 1 feet,Female | Male | Female | Male,Black | Black | Black | Black, | 18 | 43 | 26,Medium | Medium | Medium | Medium,5'0'' to 5'3'' | 5'0'' to 5'3'' | 5'0'' to 5'3'' | 5'0'' to 5'3'',No | No | No | No,Yes | Yes | Yes | Yes,Yes | Yes | Yes | Yes,,Other,No | No | No
FTN2023-0180,04/04/2023,FOB - Field Operations Bureau,8th District,Gen Assignment,Gen Assignment Other,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Other,Good,Clear Conditions,Hands,L1,Alchohol,Yes,White,Male,50,2,0 feet to 1 feet,Male,White,32,XLarge,5'7'' to 5'9'',No,Yes,Yes,,Battery on Police Officer,No
FTN2023-0272,06/05/2023,FOB - Field Operations Bureau,8th District,DIU Persons,DIU Persons DIU,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Takedown (no injury) | CEW Deployment | Takedown (no injury) | Takedown (no injury),L1 | L2 | L1 | L1,Mentally unstable,Yes | Yes | Yes | Yes,White | White | White | White,Male | Male | Male | Male,41 | 41 | 36 | 36,16 | 16 | 8 | 6,4 feet to 6 feet,Male,Black,39,Medium,5'7'' to 5'9'',No,Yes,Yes,,Resisting Lawful Arrest,No | No | No | No
FTN2023-0273,06/05/2023,FOB - Field Operations Bureau,5th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Force (Escort Tech) | Takedown (no injury) | CEW Deployment | Head Strike (No Wep),L1 | L1 | L2 | L3,Mentally unstable,No | No | Yes | Yes,Black | Black | Black | Black,Female | Female | Male | Male,36 | 36 | 25 | 25,6 | 6 | 5 | 5,0 feet to 1 feet,Male,White,32,Medium,5'7'' to 5'9'',No,Yes,Yes,,Battery on Police Officer,No | No | No | No
FTN2023-0424,10/08/2023,FOB - Field Operations Bureau,5th District,Staff,Staff Other,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified With Training,Call for Service,Good,Clear Conditions,Hands | Hands | Hands | Hands,L1 | L1 | L1 | L1,Unknown Drugs,Yes | Yes | Yes | Yes,Black | Black | Hispanic | White,Male | Male | Male | Female,39 | 36 | 31 | 26,0 | 3 | 3 | 1,*Direct Contact,Male,Black,27,Medium,5'7'' to 5'9'',No,Yes,No,,Resisting Lawful Detention,No | No | No | No
FTN2023-0425,10/09/2023,FOB - Field Operations Bureau,8th District,8th District,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Force (Take Down) | Takedown (w/injury) | Force (Take Down),L2 | L2 | L2,Unknown,Yes | Yes | Yes,White | Asian/Pacific Islander | White,Male | Male | Male,41 | 48 | 29,19 | 8 | 0,1 feet to 3 feet,Male,Black,37,Large,5'10'' to 6'0'',Yes,No,Yes,,Resisting Lawful Arrest,No | No | No
FTN2023-0012,01/06/2023,FOB - Field Operations Bureau,7th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Takedown (no injury),L1,None detected,Yes,Not Specified,Male,32,5,0 feet to 1 feet,Male,Black,41,Small,5'7'' to 5'9'',No,Yes,Yes,,Flight from an Officer,No
FTN2023-0322,07/08/2023,FOB - Field Operations Bureau,3rd District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Other,Good,Clear Conditions,Hands | Takedown (no injury),L1 | L1,Mentally unstable,Yes | Yes,Black | Black,Male | Male,36 | 36,16 | 16,0 feet to 1 feet,Male,Black,39,Medium,5'10'' to 6'0'',No,Yes,Yes,,refuse verbal commands,No | No
FTN2023-0344,07/29/2023,FOB - Field Operations Bureau,SOD,Other Support,K-9 Section,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Other,Poor,Clear Conditions,Canine (Bite),L4,None detected,Yes,Black,Male,35,15,1 feet to 3 feet,Male,Black,18,Small,5'7'' to 5'9'',Yes,Yes,Yes,,Flight from an Officer,No
FTN2023-0401,09/18/2023,FOB - Field Operations Bureau,4th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Takedown (no injury),L1,Mentally unstable,Yes,Black,Male,29,5,0 feet to 1 feet,Male,Black,33,Medium,6'1'' to 6'3'',No,Yes,No,,refuse verbal commands,No
FTN2023-0448,11/04/2023,FOB - Field Operations Bureau,7th District,Day Watch,Patrol,Regular Working,Between 7am - 7pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Force (Take Down),L2,Unknown,Yes,Black,Male,29,2,4 feet to 6 feet,Female,Black,36,Large,5'4'' to 5'6'',Yes,Yes,Yes,,Flight from an Officer,No
FTN2023-0514,12/20/2023,FOB - Field Operations Bureau,2nd District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,No,Hispanic,Male,31,7,1 feet to 3 feet,Male,Black,19,Medium,5'7'' to 5'9'',No,No,No,,Weapon Exhibited,No
FTN2023-0512,12/21/2023,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,Asian/Pacific Islander,Male,30,0,15 feet to 18 feet,Male,White,39,Small,5'10'' to 6'0'',No,No,Yes,,Weapon Exhibited,No
FTN2023-0513,12/21/2023,FOB - Field Operations Bureau,6th District,Day Watch,Day Watch,Regular Working,Between 7am - 7pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Other,L1,Mentally unstable,No,Black,Male,24,4,*Direct Contact,Female,Black,46,Medium,5'4'' to 5'6'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2023-0153,03/20/2023,FOB - Field Operations Bureau,3rd District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Takedown (no injury),L1,Unknown,Yes,White,Female,32,5,0 feet to 1 feet,Male,Black,31,Medium,6'1'' to 6'3'',No,No,No,,Other,No
FTN2023-0226,05/08/2023,FOB - Field Operations Bureau,8th District,DIU Persons,DIU Persons DIU,Paid Detail,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Takedown (no injury),L1,Mentally unstable,Yes,White,Male,33,9,0 feet to 1 feet,,,45,XLarge,5'0'' to 5'3'',No,Yes,Yes,,Resisting Lawful Arrest,No
FTN2023-0263,05/30/2023,FOB - Field Operations Bureau,7th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Hands | Hands | Hands,L1 | L1 | L1,Unknown | Unknown | Unknown,Yes | Yes | Yes,White | White | Not Specified,Male | Male | Male,43 | 30 | 32,17 | 7 | 5,0 feet to 1 feet | 0 feet to 1 feet | 0 feet to 1 feet,Female | Female | Male,Black | Black | Black,18 | 16 | 28,Medium | Medium | Medium,5'4'' to 5'6'' | 5'4'' to 5'6'' | 5'4'' to 5'6'',No | No | No,Yes | Yes | Yes,Yes | Yes | Yes,,Escape,No | Yes | No
FTN2023-0199,04/15/2023,FOB - Field Operations Bureau,SOD,Tact 1,Tact 1,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Poor,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Black,Male,31,5,4 feet to 6 feet,Male,Black,33,Small,6'1'' to 6'3'',No,No,Yes,,Weapon Exhibited,No
FTN2023-0218,05/01/2023,FOB - Field Operations Bureau,SOD,Tact 1,Tact 1,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited) | Hands | Takedown (no injury) | Firearm (Exhibited) | Takedown (no injury),L1 | L1 | L1 | L1 | L1,Unknown,Yes | Yes | Yes | Yes | Yes,White | White | White | Black | Black,Male | Male | Male | Male | Male,35 | 35 | 35 | 31 | 31,14 | 14 | 14 | 5 | 5,1 feet to 3 feet,Male,Black,38,Medium,5'4'' to 5'6'',No,No,Yes,,Resisting Officer w/Weapon,No | No | No | No | No
FTN2023-0219,05/02/2023,FOB - Field Operations Bureau,1st District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Poor,Clear Conditions,Hands | Hands,L1 | L1,Unknown,Yes | Yes,White | White,Male | Male,27 | 35,3 | 2,0 feet to 1 feet,Male,Black,34,Small,5'4'' to 5'6'',Yes,Yes,Yes,,Resisting Lawful Arrest,No | No
FTN2023-0220,05/02/2023,FOB - Field Operations Bureau,2nd District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Force (Escort Tech),L1,None detected,Yes,Black,Female,40,15,1 feet to 3 feet,Female,Black,38,Medium,5'10'' to 6'0'',Yes,No,Yes,,Resisting Lawful Arrest,No
FTN2023-0221,05/03/2023,FOB - Field Operations Bureau,2nd District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Takedown (no injury) | Force (Take Down),L1 | L2,None detected,Yes | No,Hispanic | White,Male | Male,31 | 41,7 | 6,0 feet to 1 feet,Male,Black,33,Medium,5'7'' to 5'9'',No,No,Yes,,Resisting Lawful Arrest,No | No
FTN2023-0265,05/31/2023,PIB - Public Integrity Bureau,PIB,Force Investigation Team,Investigations,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Takedown (no injury) | Firearm (Exhibited),L1 | L1,Unknown,Yes | Yes,White | Black,Male | Male,41 | 53,16 | 26,1 feet to 3 feet,Male,Black,24,Medium,5'4'' to 5'6'',No,No,Yes,,Resisting Lawful Arrest,No | No
FTN2023-0266,05/31/2023,FOB - Field Operations Bureau,1st District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Poor,Clear Conditions,Hands | Firearm (Exhibited),L1 | L1,Unknown Drugs,Yes | Yes,White | Black,Male | Male,28 | 24,5 | 3,0 feet to 1 feet,Male,Black,42,Large,5'10'' to 6'0'',No,Yes,Yes,,Flight from an Officer,No | No
FTN2023-0267,06/01/2023,FOB - Field Operations Bureau,7th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | CEW Deployment,L1 | L2,None detected,Yes | No,Hispanic | Hispanic,Male | Male,33 | 33,5 | 5,4 feet to 6 feet,Male,Black,17,Medium,5'10'' to 6'0'',No,Yes,Yes,,refuse verbal commands,No | No
FTN2023-0313,07/02/2023,FOB - Field Operations Bureau,SOD,Tact 1,Tact 1,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Pedestrian Stop,Poor,Clear Conditions,Takedown (no injury),L1,None detected,Yes,White,Male,35,7,1 feet to 3 feet,Male,Black,33,Medium,5'10'' to 6'0'',No,No,Yes,,Flight from an Officer,No
FTN2023-0393,09/08/2023,FOB - Field Operations Bureau,3rd District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Other,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Hispanic,Male,33,7,1 feet to 3 feet,Male,Black,32,Medium,5'7'' to 5'9'',No,No,Yes,,refuse verbal commands,Yes
FTN2023-0417,10/01/2023,FOB - Field Operations Bureau,1st District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,White,Male,31,6,1 feet to 3 feet,Male,Black,41,Medium,5'7'' to 5'9'',No,No,No,,Resisting Lawful Arrest,No
FTN2023-0207,04/21/2023,FOB - Field Operations Bureau,6th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified With Policy Violation,Arresting,Good,Other,Force (Take Down),L2,None detected,Yes,Hispanic,Male,33,7,0 feet to 1 feet,Male,Black,44,Medium,5'0'' to 5'3'',Yes,Yes,Yes,,Resisting Lawful Arrest,No
FTN2023-0251,05/22/2023,FOB - Field Operations Bureau,7th District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,No,Black,Male,26,5,4 feet to 6 feet,Male,Black,37,Medium,5'4'' to 5'6'',No,No,Yes,,Weapon Exhibited,No
FTN2023-0102,02/20/2023,FOB - Field Operations Bureau,SOD,Tact 1,Tact 1,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Black,Male,31,5,22 feet to 25 feet,Male,Black,18,Medium,5'7'' to 5'9'',No,No,Yes,,Weapon Exhibited,No
FTN2023-0376,08/28/2023,FOB - Field Operations Bureau,2nd District,DIU Property,DIU Property DIU,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Hands,L1,Unknown,Yes,White,Male,39,19,0 feet to 1 feet,Male,Black,22,Large,5'7'' to 5'9'',No,No,Yes,,Battery on Police Officer,Yes
FTN2023-0446,03/15/2023,FOB - Field Operations Bureau,7th District,7th District,,Regular Working,Between 7am-3pm,Completed,UOF Justified,Traffic Stop,Good,Clear Conditions,Hands | Hands,L1 | L1,None detected | None detected,Yes | Yes,Not Specified | Black,Male | Male,32 | 27,5 | 5,*Direct Contact | *Direct Contact,Female | Female,Black | Black,21 | 20,Medium | Medium,5'0'' to 5'3'' | 5'0'' to 5'3'',No | No,No | No,Yes | Yes,,Flight from an Officer,No | No
FTN2023-0456,11/10/2023,ISB - Investigative Services Bureau,Criminal Investigation Section,VCAIT,VCAIT,Regular Working,Between 7am - 7pm,Completed,UOF Justified,Other,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1 | L1 | L1,None detected | None detected,Yes | Yes | Yes | Yes | Yes,White | White | White | White | White,Male | Male | Male | Male | Male,40 | 40 | 39 | 39 | 31,16 | 16 | 12 | 10 | 7,7 feet to 10 feet | 7 feet to 10 feet,Male | Female,Black | Black,39 | 33,Medium | Medium,5'7'' to 5'9'' | 5'7'' to 5'9'',No | No,No | No,Yes | Yes,,refuse verbal commands,No | No | No | No | No
FTN2023-0455,11/10/2023,FOB - Field Operations Bureau,7th District,7th District,Adminstrative Staff,Regular Working,Between 7am - 7pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Takedown (no injury) | Hands,L1 | L1,Mentally unstable,Yes | Yes,Hispanic | Black,Male | Female,37 | 35,8 | 5,*Direct Contact,Male,Black,31,Medium,5'7'' to 5'9'',No,Yes,No,,Resisting Mental Commitment,No | No
FTN2023-0459,11/11/2023,FOB - Field Operations Bureau,1st District,DIU Persons,DIU Persons DIU,Regular Working,Unknown Shift Hours,Completed,UOF Justified,Pedestrian Stop,Poor,Clear Conditions,Firearm (Exhibited),L1,Unknown,No,Black,Male,34,5,4 feet to 6 feet,Male,Black,31,Medium,6'1'' to 6'3'',No,No,Yes,,Flight from an Officer,No
FTN2023-0468,11/20/2023,FOB - Field Operations Bureau,6th District,6th District,Investigations,AWP Working,Between 7am - 7pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Hands,L1,Alchohol,Yes,Black,Male,33,8,1 feet to 3 feet,Male,Black,64,Medium,5'7'' to 5'9'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2023-0488,11/21/2023,FOB - Field Operations Bureau,5th District,5th District,Patrol,Regular Working,Between 7am - 7pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Black,Female,40,2,15 feet to 18 feet,Male,Black,47,Medium,5'7'' to 5'9'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2023-0041,01/21/2023,FOB - Field Operations Bureau,7th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Other,Firearm (Exhibited),L1,Unknown Drugs,Yes,Asian/Pacific Islander,Male,48,8,15 feet to 18 feet,Male,Black,20,Small,5'7'' to 5'9'',No,No,Yes,,Resisting Officer w/Weapon,No
FTN2023-0064,02/05/2023,FOB - Field Operations Bureau,6th District,Night Watch,Night Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Clear Conditions,CEW Deployment,L2,Mentally unstable,Yes,White,Male,38,7,0 feet to 1 feet,Male,Black,35,XLarge,6'1'' to 6'3'',No,Yes,No,,Other,No
FTN2023-0174,03/31/2023,FOB - Field Operations Bureau,6th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Other,L1,Unknown,Yes,Black,Male,26,4,0 feet to 1 feet,Male,Black,39,Medium,5'4'' to 5'6'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2023-0453,11/07/2023,FOB - Field Operations Bureau,6th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,White,Female,25,2,4 feet to 6 feet,Male,Black,18,Medium,5'4'' to 5'6'',No,No,No,,Other,No
FTN2023-0505,12/18/2023,FOB - Field Operations Bureau,Districts,5th District,Patrol,Regular Working,Between 7am - 7pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Force (Take Down),L2,Unknown,Yes,Black,Female,27,3,0 feet to 1 feet,Male,White,,Medium,5'10'' to 6'0'',Yes,Yes,Yes,,Resisting Lawful Arrest,No
FTN2023-0533,12/31/2023,FOB - Field Operations Bureau,4th District,Day Watch,Day Watch,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,Black,Female,40,8,1 feet to 3 feet,Female,Black,,Small,5'4'' to 5'6'',No,Yes,Yes,,Weapon Exhibited,No
FTN2023-0018,01/09/2023,FOB - Field Operations Bureau,8th District,Gen Assignment,Gen Assignment Other,Regular Working,Unknown Shift Hours,Completed,UOF Justified,Pedestrian Stop,Poor,Clear Conditions,Takedown (no injury),L1,None detected,Yes,White,Male,26,4,0 feet to 1 feet,Male,Black,27,Medium,5'4'' to 5'6'',No,No,Yes,,Flight from an Officer,No
FTN2023-0128,03/04/2023,FOB - Field Operations Bureau,7th District,Day Watch,Day Watch,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Arresting,Good,Clear Conditions,Takedown (no injury) | Takedown (no injury),L1 | L1,Unknown,Yes | Yes,White | White,Male | Male,32 | 33,7 | 4,0 feet to 1 feet,Female,Black,19,Small,5'4'' to 5'6'',Yes,No,Yes,,Resisting Lawful Arrest,Yes | Yes
FTN2023-0395,09/11/2023,FOB - Field Operations Bureau,1st District,Night Watch,Night Watch,Regular Working,Unknown Shift Hours,Completed,UOF Justified,Arresting,Poor,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Black,Male,30,4,15 feet to 18 feet,Male,Black,15,Small,5'4'' to 5'6'',No,No,Yes,,Weapon Exhibited,No
